cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
46168,489,2021,Wyoming,581348,WY,794.1542759242312,8.411485031340952
394287,5191,2021,Alabama,4893186,AL,805.7878854390575,10.60863004185821
49366,214,2021,Alaska,736990,AK,669.8326978656427,2.9037028996322882
602146,9970,2021,Arizona,7174064,AZ,839.3373686100375,13.897283325044215
248860,3966,2021,Arkansas,3011873,AR,826.2632587761834,13.167885896915308
2640221,29228,2021,California,39346023,CA,671.0261415747151,7.428450900869956
357465,5207,2021,Colorado,5684926,CO,628.7944645189752,9.159310077211208
205994,6324,2021,Connecticut,3570549,CT,576.925285159229,17.71156200349022
63503,957,2021,Delaware,967679,DE,656.2403441637155,9.889643156459941
31107,809,2021,District of Columbia,701974,DC,443.13607056671617,11.524643362859594
1449244,22665,2021,Florida,21216924,FL,683.0603719936028,10.6825098680657
712785,10958,2021,Georgia,10516579,GA,677.7726863460067,10.41973820574162
22894,301,2021,Hawaii,1420074,HI,161.2169506659512,2.1196078514218275
148578,1526,2021,Idaho,1754367,ID,846.9037550295918,8.698294028558449
